image.name,analyst,expertise,red,purple,green
32_HGMNE2_1_b_GX010123_00001_20,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00002_25,SP,expert ,5,0,0
32_HGMNE2_1_b_GX010123_00003_30,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00004_35,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00005_40,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00006_45,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00007_50,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00008_55,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00009_60,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00010_65,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00011_70,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00012_75,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00013_80,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00014_85,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00015_90,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00016_95,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00017_100,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00018_105,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00019_110,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00020_115,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00021_120,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00022_125,SP,expert ,0,0,1
32_HGMNE2_1_b_GX010123_00023_130,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00024_135,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00025_140,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00026_145,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00027_150,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00028_155,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00029_160,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00030_165,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00031_170,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00032_175,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00033_180,SP,expert ,3,0,0
32_HGMNE2_1_b_GX010123_00034_185,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00035_190,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00036_195,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00037_200,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00038_205,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00039_210,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00040_215,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00041_220,SP,expert ,4,0,0
32_HGMNE2_1_b_GX010123_00042_225,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00043_230,SP,expert ,2,0,1
32_HGMNE2_1_b_GX010123_00044_235,SP,expert ,2,0,0
32_HGMNE2_1_b_GX010123_00045_240,SP,expert ,1,0,0
32_HGMNE2_1_b_GX010123_00046_245,SP,expert ,4,0,1
32_HGMNE2_1_b_GX010123_00047_250,SP,expert ,0,0,1
32_HGMNE2_1_b_GX010123_00048_255,SP,expert ,5,0,0
32_HGMNE2_1_b_GX010123_00049_260,SP,expert ,0,0,0
32_HGMNE2_1_b_GX010123_00050_265,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00001_15,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00002_20,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00003_25,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00004_30,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00005_35,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00006_40,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00007_45,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00008_50,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00009_55,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00010_60,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00011_65,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00012_70,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00013_75,SP,expert ,1,0,0
34_HGMNE2_2_b_GX010125_00014_80,SP,expert ,2,0,2
34_HGMNE2_2_b_GX010125_00015_85,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00016_90,SP,expert ,3,0,0
34_HGMNE2_2_b_GX010125_00017_95,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00018_100,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00019_105,SP,expert ,0,0,0
34_HGMNE2_2_b_GX010125_00020_110,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00021_115,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00022_120,SP,expert ,4,0,0
34_HGMNE2_2_b_GX010125_00023_125,SP,expert ,2,0,0
34_HGMNE2_2_b_GX010125_00024_130,SP,expert ,2,0,1
34_HGMNE2_2_b_GX010125_00025_135,SP,expert ,0,0,1
