leaf.number,diameter,max.vol,well.vol,mosquitoes,species,location
21,95.5,500,23.80952381,3,guzmania,pitilla
12,87,200,16.66666667,3,guzmania,pitilla
40,94.5,500,12.5,6,guzmania,pitilla
10,58.5,450,45,12,guzmania,pitilla
19,74,750,39.47368421,12,guzmania,pitilla
21,80,300,14.28571429,15,guzmania,pitilla
15,72,200,13.33333333,15,guzmania,pitilla
13,113.5,875,67.30769231,16,guzmania,pitilla
14,60,450,32.14285714,24,guzmania,Monte.verde
20,89.5,1140,57,32,guzmania,Monte.verde
27,84.5,750,27.77777778,34,guzmania,De.salva
13,93,500,38.46153846,35,guzmania,Monte.verde
20,0.528846154,500,25,36,guzmania,Monte.verde
27,98,750,27.77777778,38,guzmania,Monte.verde
34,69,1500,44.11764706,52,guzmania,Monte.verde
10,63.5,900,90,67,guzmania,Monte.verde
25,95,1250,50,83,verasia,Monte.verde
21,85,625,29.76190476,88,verasia,Monte.verde
16,112.5,1250,78.125,95,verasia,Monte.verde
16,96,1000,62.5,100,verasia,De.salva
36,102.5,1250,34.72222222,100,verasia,De.salva
18,87.5,1500,83.33333333,102,verasia,De.salva
42,107.5,1250,29.76190476,102,verasia,De.salva
22,107.5,1500,68.18181818,105,verasia,De.salva
16,84,1000,62.5,110,verasia,De.salva
15,80,1250,83.33333333,113,verasia,De.salva
27,87,1125,41.66666667,120,verasia,De.salva
26,115,1100,42.30769231,121,verasia,De.salva
21,135.5,3000,142.8571429,148,verasia,pitilla
25,91.5,3000,120,152,verasia,pitilla
