Date,Names,Site_Code,Lat_Start,Long_Start,Lat_End,Long_End,Compass_Bear_Deg,Quadrat_Dimen_m2,Cover_Method,Transect_Num,Quadrat_Num,Taxon_ID,Cover_Percent,Shoot_Count,Shoot_Number,Length_cm,Width_cm,Sediment_Type,Notes
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Z. marina,80,96,1,43,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Z. marina,80,96,2,41,0.6,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Z. marina,80,96,3,65,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Z. marina,80,96,4,16,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Z. marina,80,96,5,30,0.4,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Anthopleura,1,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Evasterias,2,NA,NA,8,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,1,Alaria,3,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,2,Z. marina,1,1,1,16,0.2,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,2,green_algae,3,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,2,brown_algae,2,NA,NA,NA,NA,sandy_mud,
9/8/2025,Lee_Lauren_Ross,MB,59.60826,-151.422904,59.608536,-151.423594,300,0.5,Percent_Bins,1,2,red_algae,1,NA,NA,NA,NA,sandy_mud,
