stream,species,sex,length
mayfly,rainbow,male,35.2
mayfly,rainbow,male,36.1
mayfly,rainbow,male,39.2
mayfly,rainbow,male,31.5
mayfly,rainbow,female,31.6
mayfly,rainbow,female,28.2
mayfly,rainbow,female,29.1
mayfly,kokanee,female,31.25
mayfly,kokanee,female,32.1
mayfly,kokanee,male,33.5
stony,kokanee,female,30.15
stony,kokanee,female,30.8
stony,kokanee,female,28.21
stony,kokanee,female,24.2
stony,kokanee,female,26.13
stony,kokanee,male,30.1
stony,kokanee,male,31.1
stony,rainbow,female,29.2
stony,rainbow,female,28.1
stony,rainbow,male,31.2
glacier,rainbow,male,33.1
glacier,rainbow,female,24.2
glacier,kokanee,male,27.26
glacier,kokanee,female,25.2
glacier,kokanee,female,26.1
glacier,rainbow,male,27.2
glacier,rainbow,male,29.2
trout,rainbow,female,31.2
trout,rainbow,female,33.3
trout,rainbow,male,35.2
trout,rainbow,female,30.2
